"filename", "language", "JavaScript", "XML", "CSS", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"f:\IQAC_FrontEnd\FrontEnd_-Portion-branch3\iqac_portal\README.md", "Markdown", 0, 0, 0, 0, 38, 0, 0, 33, 71
"f:\IQAC_FrontEnd\FrontEnd_-Portion-branch3\iqac_portal\craco.config.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 10
"f:\IQAC_FrontEnd\FrontEnd_-Portion-branch3\iqac_portal\package-lock.json", "JSON", 0, 0, 0, 46911, 0, 0, 0, 1, 46912
"f:\IQAC_FrontEnd\FrontEnd_-Portion-branch3\iqac_portal\package.json", "JSON", 0, 0, 0, 50, 0, 0, 0, 1, 51
"f:\IQAC_FrontEnd\FrontEnd_-Portion-branch3\iqac_portal\public\index.html", "HTML", 0, 0, 0, 0, 0, 35, 23, 1, 59
"f:\IQAC_FrontEnd\FrontEnd_-Portion-branch3\iqac_portal\public\manifest.json", "JSON", 0, 0, 0, 25, 0, 0, 0, 1, 26
"f:\IQAC_FrontEnd\FrontEnd_-Portion-branch3\iqac_portal\src\App.css", "CSS", 0, 0, 36, 0, 0, 0, 0, 6, 42
"f:\IQAC_FrontEnd\FrontEnd_-Portion-branch3\iqac_portal\src\App.js", "JavaScript", 193, 0, 0, 0, 0, 0, 29, 12, 234
"f:\IQAC_FrontEnd\FrontEnd_-Portion-branch3\iqac_portal\src\App.test.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 2, 9
"f:\IQAC_FrontEnd\FrontEnd_-Portion-branch3\iqac_portal\src\components\Admin.js", "JavaScript", 102, 0, 0, 0, 0, 0, 2, 6, 110
"f:\IQAC_FrontEnd\FrontEnd_-Portion-branch3\iqac_portal\src\components\AdminDropdown.js", "JavaScript", 122, 0, 0, 0, 0, 0, 16, 27, 165
"f:\IQAC_FrontEnd\FrontEnd_-Portion-branch3\iqac_portal\src\components\AllCriteria.js", "JavaScript", 64, 0, 0, 0, 0, 0, 2, 27, 93
"f:\IQAC_FrontEnd\FrontEnd_-Portion-branch3\iqac_portal\src\components\Coordinator.js", "JavaScript", 71, 0, 0, 0, 0, 0, 1, 5, 77
"f:\IQAC_FrontEnd\FrontEnd_-Portion-branch3\iqac_portal\src\components\Criteria1.js", "JavaScript", 68, 0, 0, 0, 0, 0, 2, 19, 89
